,code,rca_arg,rca_bra,rca_deu,rca_chn,pci,cog,description,export,category,id
63,903190,0.05268582676481586,0.06608283738899327,1.9843351541594063,0.6017604865457558,1.652567918999723,0.35531176455068386,"Parts and access for measuring, checking equipment ne",1302016.8,Precision Instruments,903190
64,903289,0.1293137886224778,0.5467045762547861,1.4952422563692769,0.7241876899429835,1.3518234636054178,0.3041444008277045,Automatic regulating/controlling equipment nes,9558820.8,Precision Instruments,903289
65,903290,0.041321796169309984,0.1038642407105244,1.111489986831028,0.78103477755327,0.7278379829319586,0.15490566194806266,Parts and accessories for automatic controls,757761.2,Precision Instruments,903290
66,903300,0.02559389653899924,0.06858649404392886,1.21963522084795,0.7429462977169868,0.862152128487673,0.0973094534744298,Parts/accessories nes for optical/electric instrument,251672.2,Precision Instruments,903300
67,441830,0.0064573281355317785,0.5674940597644519,1.125743043559362,1.057396977832329,0.2787215129402041,-0.009934662716749022,"Parquet panels and tiles, of wood",33487.4,Wood and Wood Products,441830
68,901380,0.0004841733784716461,0.003207337579437682,0.05789690683748085,3.386723303313858,0.9023819801641044,0.19031767655443235,"Optical devices, appliances and instruments, nes",91238.8,Precision Instruments,901380
69,901390,0.0016555721323652135,0.002803066110290269,0.774363759796777,1.9343938800461156,0.4326819939278532,0.20091008002491387,Parts and accessories of optical appliances nes,39568.2,Precision Instruments,901390
70,732510,0.04315888520631268,0.20475093325628804,2.009022918222156,1.323271519334278,0.3599922322171536,-0.026906556535667724,"Cast articles, of non-malleable cast iron nes",394292.4,Base Metals,732510
71,840991,0.4317969818511138,0.91314606019136,2.1569601378919034,0.6146809823572632,1.1572451436141689,0.2322347933110888,Parts for spark-ignition engines except aircraft,47877099.6,"Machinery, Electrical",840991
72,841013,2.0895631582980885,12.873854062332065,1.7656737396998452,1.2284120715022873,0.9444349469527136,0.23617777742637103,"Hydraulic turbines, water wheels, power > 10000 kW",1786577.8,"Machinery, Electrical",841013
73,841320,0.17734370620038706,0.08510307165460387,1.154180151897871,2.8227108718961698,0.10194275005026283,0.1789480218024576,Hand pumps not designed to measure flow,455947.8,"Machinery, Electrical",841320
74,841350,0.3362836737807653,0.11774020900483415,2.7283892764743305,0.5825736557284731,1.0543306457179349,0.3446924074523259,Reciprocating positive displacement pumps nes,8812390.6,"Machinery, Electrical",841350
75,841360,0.3643204415780263,0.5937918888899046,2.393881561829064,0.976490897740578,1.293601563695009,0.35408093460166623,Rotary positive displacement pumps nes,7834458.0,"Machinery, Electrical",841360
76,841370,0.9513645089575034,0.5289599018551003,1.6579248557935546,1.233109301194795,1.3333837914732718,0.3256369764917964,Centrifugal pumps nes,45001629.2,"Machinery, Electrical",841370
77,841381,0.14352682557115648,0.22043883311159795,0.7576906030220943,0.7039159634946467,0.625870835285457,0.1214655464834464,Pumps nes,2093961.4,"Machinery, Electrical",841381
78,841410,0.2402762551943783,0.24126498383399397,2.857983829353484,0.40521350130480815,1.7009822547088151,0.409446186301454,Vacuum pumps,3474490.2,"Machinery, Electrical",841410
79,841430,0.0638709848315226,2.3300636201284552,0.8652280847014941,1.7205908762400743,1.2931830959296091,0.2407038072231314,Compressors for refrigerating equipment,3036650.0,"Machinery, Electrical",841430
80,841440,0.3921092334514039,0.2961922501162968,1.3625552564073562,1.1110684995185691,-0.07991139567997489,0.08406852934317842,Air compressors mounted on wheeled chassis for towing,1000731.2,"Machinery, Electrical",841440
81,841480,0.29633885285274114,0.5714379839831293,2.0645115670180183,0.8664191446790545,1.3938329151577102,0.3310798675331261,"Air or gas compressors, hoods",20485047.4,"Machinery, Electrical",841480
82,841490,0.06852167069653392,0.3406161839545805,1.1316287044391922,0.8572960244803828,1.4362413138657608,0.3062887645336002,"Parts of vacuum pumps, compressors,fans,blowers,hoods",3586230.4,"Machinery, Electrical",841490
83,842119,0.22211116791366986,0.17422646857292862,4.510240448472686,0.7557147972570041,1.0022962786138854,0.2853879885533598,Centrifuges nes,1569059.4,"Machinery, Electrical",842119
84,842191,0.14396997417610993,0.08900251403024832,3.0008973991641064,0.3854387457979617,1.593717123532281,0.3645383393797101,"Parts of centrifuges, including centrifugal dryers",466834.6,"Machinery, Electrical",842191
85,842220,0.6258085224511007,0.30131990654218016,3.3906368075020787,0.4145563533629204,1.1285867028760306,0.2345293345707578,Machinery for cleaning/drying bottles/containers nes,1362175.6,"Machinery, Electrical",842220
86,847439,0.335839718676796,0.533038712768476,2.3191491103768387,1.3530305242502432,-0.6074271912335922,-0.09101578043791224,"Mixing, kneading machines for minerals except bitumen",692894.0,"Machinery, Electrical",847439
87,848110,0.7366033247921849,0.2887548896674654,1.4281462583589932,0.6102977970418432,1.063579882602661,0.2286124605012459,"Valves, pressure reducing",8130511.0,"Machinery, Electrical",848110
88,848130,0.09313726575282352,0.20289698430745767,1.6539008895128964,1.110976101647318,1.3355872628045675,0.3807921022176929,"Valves, check",890410.0,"Machinery, Electrical",848130
89,848140,0.12622358717349524,0.15672771221003254,1.8004838223284476,0.2991409222337171,1.7912490209667884,0.4113286386157082,"Valves, safety or relief",1846046.2,"Machinery, Electrical",848140
90,848180,0.3255436571963267,0.8322481103082735,1.4701239470989869,1.4080373091426388,1.2014569433279965,0.2673007629551417,"Taps, cocks, valves and similar appliances, nes",57450141.6,"Machinery, Electrical",848180
91,850440,0.02045418275094766,0.12853461847526546,1.1986524209324156,2.7123204801226843,1.0786618357432018,0.2198376378089964,"Static converters, nes",3541438.0,Transportation,850440
92,854380,0.046021562823247916,0.06287785019759858,1.0879039127022905,2.4916081666286143,1.4825315513499653,0.3631304893178392,"Electrical machines and apparatus, nes",5137076.8,Transportation,854380
93,902511,0.06056980492942686,0.15602765168059202,1.9080417500481333,2.8930211499566623,1.2164765886848787,0.2762052427728155,"Thermometers, liquid-filled",33694.2,Precision Instruments,902511
94,902519,0.055651971603004224,0.0687476121740761,2.0476355830097277,1.6638705203379234,0.8341989214047058,0.2409331562107705,"Thermometers, except liquid filled",541899.8,Precision Instruments,902519
95,902580,0.03734658818956811,0.1425561430234893,2.089749968876628,1.2644590371613438,0.9501564322744004,0.2030022263023783,"Hydrometer, pyrometer, hygrometer, alone or combined",144595.8,Precision Instruments,902580
96,902810,2.846930193598844,0.3637964637892817,3.2439352764039517,0.4864100283381154,0.2593236104645729,0.08052826276101567,Gas supply/production/calibration meters,7804399.6,Precision Instruments,902810
97,902820,0.020391215323526238,1.6742826597763336,1.7175303160485502,1.0596443701187872,0.591192351229508,0.0747035380696748,"Liquid supply, production and calibrating meters",92154.4,Precision Instruments,902820
98,903010,0.09438010843502123,0.01918715264686416,2.5884994136358004,0.11147642976670018,1.0523507846783893,0.2758885324797905,Instruments to measure or detect ionising radiations,402490.8,Precision Instruments,903010
99,903220,0.03227859804717803,0.11768590876006953,6.2796190053641245,0.19712580796741586,1.3842236741654568,0.3210071207666769,Manostats,147172.8,Precision Instruments,903220
100,903281,0.0557431355489269,0.07922109098664529,6.537880014216663,0.3832049606020159,1.3347467207863173,0.06279298570191914,Hydraulic and pneumatic automatic controls,458487.8,Precision Instruments,903281
101,252100,0.1180106087038858,0.03326528604936271,0.09221539994489872,0.1297500990335405,-0.91136403023287,-0.14180051403264748,Limestone materials for manufacture of lime or cement,331256.8,Mineral Products,252100
102,252220,1.1994103734972466,0.3354291442297018,0.8333333513455831,0.5165929393745818,-0.7714384641546641,-0.09372798489993847,Slaked lime,935327.4,Mineral Products,252220
103,281610,0.0,0.049770922417322665,0.9739712525096608,0.6007176398239278,0.7962056128676807,0.3021476157682979,Magnesium hydroxide and peroxide,0.0,Chemicals and Allied Industries,281610
104,701990,0.061512916365460475,0.09894534409435564,0.947349872485773,1.4726448458253634,-0.03153634427896332,-0.028169972375261355,"Glass fibres, glass wool and articles thereof nes",544607.6,"Natural or Cultured Pearls, Precious Metals",701990
105,842490,1.523649528017425,0.28424183651241514,1.8327396634180448,1.034169227752078,0.9824952289546592,0.20478194351676865,Parts for sprays and powder dispersers,26818704.0,"Machinery, Electrical",842490
106,280110,0.11919948055288078,0.002338306663092296,0.6036324678310143,0.21193916797829485,-0.7387551697527817,-0.1140038117901034,Chlorine,70393.2,Chemicals and Allied Industries,280110
107,281410,0.3354555464066591,0.18336269608608408,0.18675800562474115,0.007124843590319853,-1.2183766555900306,-0.01331263845997388,Anhydrous ammonia,8498071.4,Chemicals and Allied Industries,281410
108,281511,1.1304684145719677,0.06317357634472531,0.467786319966892,2.9335062372173364,-1.2784528663274006,-0.1127308061012446,Sodium hydroxide (caustic soda) solid,2985298.4,Chemicals and Allied Industries,281511
109,281512,0.6982657998138059,0.16833513702233194,1.5382538250952889,0.6504458249998569,0.5078840661617371,0.23856263804377226,Sodium hydroxide (caustic soda) in aqueous solution,9612530.8,Chemicals and Allied Industries,281512
110,281830,0.007314430466103106,7.01528800331735,2.6328948035467623,0.7261884026223313,0.2295296748126432,0.01706888648253049,Aluminium hydroxide,36566.0,Chemicals and Allied Industries,281830
111,282010,0.0,0.2826971980752761,0.07440354244733373,2.648331646792184,-0.5112538929763046,0.04589780079965214,Manganese dioxide,0.0,Chemicals and Allied Industries,282010
112,282090,0.003368345495861345,3.8920046963814015,0.1317914318596582,0.4187006765171509,0.3996018691823652,0.1080351189241988,Manganese oxides other than manganese dioxide,1663.6,Chemicals and Allied Industries,282090
113,282410,1.2768206653955885,1.6148343968810834,1.8671934651138056,0.2220451827056072,-0.429936563547666,0.08937631232685475,"Lead monoxide (litharge, massicot)",307809.0,Chemicals and Allied Industries,282410
114,283210,0.07863762530728448,0.06556755246736569,2.4342934975924435,2.0570297506826885,-0.7113388940467887,-0.005676727626558471,Sodium sulphites,81792.2,Chemicals and Allied Industries,283210
115,283220,0.05522458354744366,0.4614495980709447,2.268923424759878,0.8546204274847914,0.10429522700960037,0.2012931783982772,Sulphites of metals other than sodium,15598.8,Chemicals and Allied Industries,283220
116,283510,0.002080120072710748,0.09059450660052693,0.3745984394016937,4.369984046463357,0.4846035974331098,0.03575249053460745,Phosphinates and phosphonates,1138.8,Chemicals and Allied Industries,283510
117,283529,0.028856383481197317,0.07065422129554202,2.644644079268775,0.9934274826243088,-0.13933684268445512,-0.010739654062239591,Phosphates of metals nes,23097.6,Chemicals and Allied Industries,283529
118,283524,0.006893733807834465,0.017987893464305668,1.0021088772050164,3.155998457876445,0.5007141118654899,0.18385559121691974,Potassium phosphates,6845.2,Chemicals and Allied Industries,283524
119,283525,0.006138089628891471,0.4884578780231866,1.10312525127149,2.2971591058193206,-0.2298848773219893,0.059646076121403185,Calcium hydrogen-orthophosphate,9304.6,Chemicals and Allied Industries,283525
120,283526,0.09892609305427344,1.1375098743727303,0.7463746104221677,0.8685162507936245,-0.19736773223778414,-0.08644331438449787,Calcium phosphates except hydrogen-orthophosphate,369666.2,Chemicals and Allied Industries,283526
121,380210,0.01739958764709939,0.08441117136890725,0.5189373667896816,1.584448332468451,-0.3881512640822785,0.018023182884442858,Activated carbon,96100.2,"Plastics, Rubbers",380210
122,392690,0.1014233357840711,0.14284283569806044,1.6570626437768396,1.4471508160089523,0.6538734004784088,0.0790680460787482,Plastic articles nes,19947013.0,"Plastics, Rubbers",392690
123,580190,0.012359703996864979,0.01756464245723589,0.2423574032090225,2.6350725365061383,-0.6145002076401427,-0.09288113903450117,"Woven pile, chenille fabric of yarn nes, except terry",4802.8,Textiles,580190
124,730900,0.3929596271575807,0.8677563817292315,1.024803440597802,0.7243890151175084,-0.1042375234638601,-0.061172439670854076,"Reservoirs/tanks/vats/etc, iron/steel capacity >300l",5312865.2,Base Metals,730900
125,731010,0.2441222509343329,0.24933324863059886,1.4667193971598336,0.4315711214124754,-0.13328189322855524,-0.054130195358990614,"Tank, cask or container, iron/steel, capacity 50-300l",1281848.2,Base Metals,731010
126,731021,0.07608090338993152,0.10398103152416402,0.7981275672260237,0.9719154210028396,-0.3679011947462999,-0.11047350647377246,"Cans, iron/steel, capacity <50l closed by crimp/solde",614397.4,Base Metals,731021
127,731029,0.10550083378618116,0.3385000199549896,1.378833940956112,1.4881190492741532,-0.3285277962181596,-0.1559278270785826,"Cans, iron or steel, capacity <50 litres nes",852609.8,Base Metals,731029
128,842381,0.10829034547152024,0.05975171761155454,3.4074800642421854,2.2254399434952545,0.5933095743010225,0.1660985586620602,Weighing machinery having a capacity < 30 kg nes,289331.8,"Machinery, Electrical",842381
129,842382,0.3597653032819095,0.08196152080090263,1.544845795461257,1.7159926631655185,1.5362667242070158,0.3767320184877196,Weighing machinery having a capacity of 30-5000 kg,761874.6,"Machinery, Electrical",842382
130,842389,1.1835342189745326,0.25998509982654844,0.6825154648385665,1.3093616620517061,-0.007364305429789985,-0.09927480205477812,"Weighing machinery, nes",1052360.0,"Machinery, Electrical",842389
131,681099,0.01845781420712178,0.1041236697992022,0.9557983615149832,2.577516170243755,-0.252963712545268,-0.09333080207638984,"Articles of cement, concrete or artificial stone nes",269692.8,"Stone, Glass, Cement, Ceramics",681099
132,780600,0.3825410089085127,0.4812702751331256,1.2057015722724287,0.4402300449644822,-0.8304743462481701,-0.045184317375407436,Articles of lead nes,488616.2,Base Metals,780600
133,851629,0.017382578778058884,0.004785697279077783,0.8647593088020525,3.879238734886079,0.20998398772466995,-0.015800337375730222,Electric space heating nes and soil heating apparatus,182234.2,Transportation,851629
134,901320,0.0032242316761852204,0.0061314782211680146,3.3903931655195056,0.5703292474642857,1.7934841257053278,0.4247115639350105,"Lasers, other than laser diodes",64819.6,Precision Instruments,901320
135,392490,0.052025863779477634,0.17464984771242448,0.569994958513936,3.5539672663575113,-1.4099754297019846,-0.1687124890688875,"Plastic household, toilet articles not table, kitchen",1339828.2,"Plastics, Rubbers",392490
136,960310,0.03779552309889779,0.07659515156885692,0.1308325139323721,2.0969084657528234,-1.3042360309848595,-0.306940812593857,Brooms/brushes of vegetable material,21058.8,"Works of Art, Antiques",960310
137,960350,0.10867867165488612,0.15898323499155526,2.815925380059725,1.462835149284374,0.6056690086497998,0.14847173075325573,"Brushes nes, as parts of machines, appliances etc",302538.2,"Works of Art, Antiques",960350
138,960390,0.11114670632387688,0.2703546411833712,0.9527592379587034,4.136696664128231,-0.96547474590232,-0.09402201470690996,"Brushes, parts, nes",1124898.2,"Works of Art, Antiques",960390
139,392020,0.2943873321768124,0.4601970317983248,1.4285445965465071,0.5330485459309098,-0.3894207082064348,-0.13715623621452458,Sheet/film not cellular/reinf polymers of propylene,9399430.6,"Plastics, Rubbers",392020
140,870892,0.05704151470272065,0.17661600398597416,2.1953335172288773,0.5064635863472894,0.7069008475975859,0.116676125417895,Mufflers and exhaust pipes for motor vehicles,1709875.6,Transportation,870892
141,284700,0.04779784297181641,5.660954538106089,0.8309154168766784,0.06263381768201767,-0.1455796913531071,0.002470183720894175,Hydrogen peroxide,116398.6,Chemicals and Allied Industries,284700
142,320910,0.3549890313715425,0.6297775389045438,2.5188485698822736,0.07239561851063132,0.1846951041770981,-0.030148530935034036,"Acrylic & vinyl polymer based paint, varnish, in wate",3997762.6,Chemicals and Allied Industries,320910
143,320990,0.2328750999270208,0.26842772297394885,2.264664337101531,0.2277871165312281,0.13984695047219325,0.042413533201856674,"Polymer based paints & varnishes nes, aqueous medium",2254866.4,Chemicals and Allied Industries,320990
144,220110,0.008383630187978618,0.010098715369124751,0.4629798954228506,0.15504742987420272,-0.4106519795416008,-0.03655581044587696,Mineral and aerated waters not sweetened or flavoured,68939.2,"Prepared Foodstuffs, Beverages, Tobacco",220110
145,285100,0.010301298209579418,0.06548994997293715,0.6551861590501195,1.747798697954905,1.3757743864837366,0.23833235642965644,"Inorganic compounds,liquid/compressed air,amalgams ne",55249.6,Chemicals and Allied Industries,285100
